case_id,expanded_route_id,base_route_id,source_tree,case_number,global_case_number,seed,route_depth,final_rule,final_output_class_id,expected_mode,input_xml_path,input_xml_flat_path,expected_output_path,tree_version,mapping_version,generator_version
BT-GPA-001__DIRECT__0012,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,12,12,69055033039978,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0012.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0012.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0013,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,13,13,105508693585607,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0013.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0013.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0014,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,14,14,59547366407538,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0014.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0014.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0015,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,15,15,108226836715476,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0015.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0015.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0016,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,16,16,129394763111974,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0016.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0016.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0017,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,17,17,256468737402478,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0017.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0017.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0018,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,18,18,240052356413064,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0018.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0018.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0019,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,19,19,186456995826731,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0019.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0019.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0020,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,20,20,142510103670519,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0020.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0020.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0021,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,21,21,196221082601139,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0021.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0021.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0022,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,22,22,183791719868262,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0022.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0022.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0023,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,23,23,3629601073027,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0023.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0023.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0024,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,24,24,41686395664390,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0024.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0024.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0025,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,25,25,218346348149194,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0025.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0025.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0026,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,26,26,50364670950228,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0026.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0026.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0027,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,27,27,65228017096998,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0027.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0027.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0028,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,28,28,129655907838379,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0028.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0028.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0029,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,29,29,15888686930565,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0029.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0029.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0030,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,30,30,90233178687986,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0030.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0030.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0031,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,31,31,163260641554266,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0031.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0031.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0032,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,32,32,72795095220217,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0032.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0032.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0033,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,33,33,133172642402848,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0033.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0033.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0034,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,34,34,21873658480937,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0034.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0034.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0035,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,35,35,189161464894619,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0035.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0035.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0036,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,36,36,203454918563056,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0036.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0036.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0037,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,37,37,105471466848344,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0037.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0037.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0038,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,38,38,222686122021735,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0038.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0038.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0039,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,39,39,36791206890210,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0039.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0039.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0040,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,40,40,20674550459780,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0040.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0040.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0041,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,41,41,117417024812473,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0041.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0041.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0042,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,42,42,309958914548,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0042.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0042.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0043,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,43,43,17246217961040,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0043.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0043.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0044,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,44,44,275273940468562,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0044.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0044.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0045,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,45,45,139236834778958,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0045.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0045.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0046,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,46,46,190870647515445,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0046.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0046.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0047,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,47,47,5445943260029,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0047.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0047.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0048,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,48,48,148687225274594,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0048.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0048.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0049,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,49,49,21301459189902,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0049.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0049.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
BT-GPA-001__DIRECT__0050,BT-GPA-001__DIRECT,BT-GPA-001,General_post_primera_asignacion,50,50,142979218329775,1,General_post_primera_asignacion,DIRECT_REASSIGN_DISBURSER_ABF,EXACT,02_inputs_xml_flat/BT-GPA-001__DIRECT__0050.xml,02_inputs_xml_flat/BT-GPA-001__DIRECT__0050.xml,03_expected/expected_outputs.csv,MOTOR_BT_DRAWIO_EXPANDED_V1,BT_FLAT_V1,XML_INPUT_GENERATOR_BT_FLAT_V3_GENDER_STRUCTURE_2026_06_03
